,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,department
12,ACE1301-004,ACE1301,4,정보사회와컴퓨터,1,3.0,교양필수,[    0 57344     0     0 57344     0     0],원종구,절대평가, ,기계공학과-기계공학
17,ACE1301-009,ACE1301,9,정보사회와컴퓨터,4,3.0,교양필수,[    0     0     0     0 64512     0     0],이윤정,절대평가, ,생명공학과-생명공학
25,ACE1302-007,ACE1302,7,컴퓨터프로그래밍,1,3.0,교양필수,[     0      0      0      0 130560      0      0],이영우,절대평가, ,반도체시스템공학과-반도체시스템공학
44,ACE2101-014,ACE2101,14,공업수학 1,2,3.0,교양필수,[    0     0 58240     0 58240     0     0],최경표,상대평가, ,신소재공학과-신소재공학
62,ACE2104-003,ACE2104,3,통계학,2,3.0,교양필수,[    0     0 57358     0 57358     0     0],우화형,상대평가, ,컴퓨터공학과-컴퓨터공학
70,ACE2105-004,ACE2105,4,선형대수,2,3.0,교양필수,[    0     0 57358     0 57358     0     0],김춘우,상대평가,선수,정보통신공학과-정보통신공학
71,ACE2105-005,ACE2105,5,선형대수,2,3.0,교양필수,[    0     0 57358     0 57358     0     0],김춘우,상대평가,선수,정보통신공학과-정보통신공학
105,APL1104-002,APL1104,2,통계학의 이해 1,1,3.0,교양필수,[     0      0      0      0 516096      0      0],현기순,상대평가, ,아태물류학부-물류학
144,ARC3104-001,ARC3104,1,근대건축사,3,3.0,전공필수,[    0     0     0     0 64512     0     0],이홍규,상대평가, ,건축학부-건축학
166,ARC4311-001,ARC4311,1,건축과 조경,4,3.0,전공선택,[    0     0     0     0 64512     0     0],정혜진,상대평가, ,건축학부-건축학
168,ARE1403-002,ARE1403,2,건축공학개론,1,3.0,전공필수,[    0     0     0     0 64512     0     0],"양재근,조재훈,조재완,최민지",상대평가, ,건축학부-건축공학
176,ARE3307-001,ARE3307,1,건축법규,3,3.0,전공선택,[    0     0     0     0 64512     0     0],조영호,상대평가, ,건축학부-건축공학
229,BIO2105-001,BIO2105,1,분류생태학 종합실험,2,3.0,전공선택,[      0       0       0       0 2096640       0       0],"조강현,민기식,조장천",절대평가,"영어,English",생명과학과-생명과학
230,BIO2105-002,BIO2105,2,분류생태학 종합실험,2,3.0,전공선택,[      0       0       0       0 2096640       0       0],"조강현,민기식,조장천",절대평가,"영어,English",기타-원어강의
277,BTE2102-002,BTE2102,2,물리화학,2,3.0,전공필수,[    0 57344     0     0 57344     0     0],부지윤,상대평가, ,생명공학과-생명공학
368,BUS3903-001,BUS3903,1,외식경영론,전체,3.0,전공선택,[    0     0 57344     0 57344     0     0],브래넌,절대평가,English,기타-원어강의
371,BUS4104-001,BUS4104,1,금융기관경영론,전체,3.0,전공선택,[     0      0      0      0 516096      0      0],유전무,상대평가, ,경영학과-경영학
388,CBA1102-006,CBA1102,6,경영학원론,1,3.0,교양필수,[     0      0      0      0 516096      0      0],윤여준,상대평가, ,글로벌금융학과-글로벌금융학
417,CBA1106-010,CBA1106,10,회계원론,전체,3.0,교양필수,[    0     0     0     0 64512     0     0],임충혁,상대평가, ,경영학과-경영학
447,CCM2315-002,CCM2315,2,영상콘텐츠 제작 실습,3,3.0,전공선택,[      0       0       0       0 2088960       0       0],"한재연,정우람",절대평가, ,문화콘텐츠문화경영학과-문화콘텐츠문화경영학
449,CCM2323-002,CCM2323,2,매체 스토리텔링 분석,3,3.0,전공선택,[     0      0      0      0 516096      0      0],백태현,상대평가, ,문화콘텐츠문화경영학과-문화콘텐츠문화경영학
458,CCM3413-001,CCM3413,1,문화브랜드창업실습,4,3.0,전공선택,[    0     0     0     0 64512     0     0],송기란,절대평가, ,문화콘텐츠문화경영학과-문화콘텐츠문화경영학
459,CCM3414-001,CCM3414,1,문화산업분석실습,3,3.0,전공선택,[     0      0      0      0 516096      0      0],장준도,상대평가, ,문화콘텐츠문화경영학과-문화콘텐츠문화경영학
488,CDN2220-004,CDN2220,4,캐릭터디자인,2,3.0,전공선택,[    0     0     0     0 64512     0     0],박재옥,절대평가, ,디자인테크놀로지학과-디자인테크놀로지학
494,CDN2501-002,CDN2501,2,AR/VR 디자인,3,3.0,전공선택,[    0     0     0     0 64512     0     0],박조이,절대평가, ,디자인융합학과-디자인융합학
538,CHE3202-006,CHE3202,6,화학공학실험,3,2.0,전공필수,[     0      0      0      0 261120      0      0],이기영,절대평가, ,화학공학과-화학공학
551,CHE3300-004,CHE3300,4,공업화학실험,3,2.0,전공필수,[     0      0      0      0 261120      0      0],최진섭,Pass/Fail, ,화학공학과-화학공학
552,CHE3300-005,CHE3300,5,공업화학실험,3,2.0,전공필수,[     0      0      0      0 261120      0      0],양승재,Pass/Fail, ,화학공학과-화학공학
553,CHE3300-006,CHE3300,6,공업화학실험,3,2.0,전공필수,[     0      0      0      0 261120      0      0],황예진,Pass/Fail, ,화학공학과-화학공학
674,CHS4110-001,CHS4110,1,보육교사론,4,3.0,전공필수,[    0     0     0     0 64512     0     0],이지현,상대평가, ,아동심리학과-아동심리학
676,CHS4401-001,CHS4401,1,보육실습,4,3.0,전공선택,[      0 4186112       0       0 4186112       0       0],"이완정,김균희",절대평가, ,아동심리학과-아동심리학
690,CIV2511-002,CIV2511,2,측량학 및 실습,2,3.0,전공필수,[     0      0      0      0 261120      0      0],박준구,절대평가, ,사회인프라공학과-사회인프라공학
712,COM2200-001,COM2200,1,저널리즘개론,전체,3.0,전공필수,[     0      0      0      0 516096      0      0],성지연,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
714,COM2300-002,COM2300,2,방송학개론,전체,3.0,전공필수,[     0      0      0      0 516096      0      0],심용운,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
745,CON3607-001,CON3607,1,소비자정량분석 및 실습,3,3.0,전공필수,[      0       0       0       0 2088960       0       0],조향숙,절대평가, ,소비자학과-소비자학
748,CON4111-001,CON4111,1,행동재무학,4,3.0,전공선택,[     0      0      0      0 516096      0      0],장경영,상대평가, ,소비자학과-소비자학
757,CSE1101-004,CSE1101,4,객체지향프로그래밍 1,1,3.0,전공필수,[     0      0      0 123360 123360      0      0],이연,상대평가, ,컴퓨터공학과-컴퓨터공학
775,CSE2112-002,CSE2112,2,자료구조,2,4.0,전공필수,[     0  57344      0  57344 122880      0      0],심정섭,상대평가,선수,컴퓨터공학과-컴퓨터공학
776,CSE2112-003,CSE2112,3,자료구조,2,4.0,전공필수,[     0    112  57344      0 122880      0      0],배승환,상대평가,선수,컴퓨터공학과-컴퓨터공학
778,CSE2112-005,CSE2112,5,자료구조,2,4.0,전공필수,[     0 122880      0 122880 122880      0      0],김영호,상대평가,선수,컴퓨터공학과-컴퓨터공학
813,CSE4312-002,CSE4312,2,컴파일러,4,3.0,전공선택,[    0     0     0 57344 57344     0     0],김지응,상대평가,선수,컴퓨터공학과-컴퓨터공학
842,DET3019-001,DET3019,1,게임프로그래밍,3,3.0,전공선택,[     0      0      0      0 516096      0      0],김종현,절대평가, ,디자인테크놀로지학과-디자인테크놀로지학
847,DET4003-001,DET4003,1,퓨처프러덕트 디자인,4,3.0,전공선택,[     0      0      0      0 516096      0      0],"성보경,이덕찬",Pass/Fail, ,디자인테크놀로지학과-디자인테크놀로지학
871,ECE2222-010,ECE2222,10,기초실험 1,2,1.0,전공필수,[     0      0      0      0 122880      0      0],박인호,절대평가, ,전자공학과-전자공학
884,ECE3314-001,ECE3314,1,데이터구조,3,3.0,전공선택,[    0     0 64512     0 64512     0     0],울라샨,절대평가,"English,선수",기타-원어강의
912,ECE4471-001,ECE4471,1,시스템소프트웨어설계,4,3.0,전공선택,[     0      0      0      0 516096      0      0],메히디,절대평가,English,기타-원어강의
923,ECO2222-001,ECO2222,1,경제사,전체,3.0,전공선택,[    0     0     0     0 64512     0     0],전보강,상대평가, ,경제학과-경제학
944,EDC1101-002,EDC1101,2,교육학개론,전체,2.0,교직과정,[     0      0      0      0 122880      0      0],최종인,절대평가, ,기타-사범대 교직과정
975,EDC3311-004,EDC3311,4,학교폭력예방 및 학생의 이해,전체,2.0,교직과정,[     0      0      0      0 122880      0      0],조상현,절대평가, ,교육학과-교육학
988,EDC4223-001,EDC4223,1,학교현장실습,4,3.0,교직과정,[     0      0      0      0 516096      0      0],"이현우,조미혜,권나영,정이화",절대평가, ,교육학과-교육학
1020,EEE3002-003,EEE3002,3,전기회로실험,3,1.0,전공필수,[     0      0      0      0 122880      0      0],김광기,절대평가, ,전기공학과-전기공학
1023,EEE3002-006,EEE3002,6,전기회로실험,3,1.0,전공필수,[     0      0      0      0 122880      0      0],김재국,절대평가, ,전기공학과-전기공학
1031,EEE3113-001,EEE3113,1,모터제어,전체,3.0,전공선택,[     0      0      0      0 516096      0      0],신영균,상대평가,바쿠대학 학생만 수강,전기공학과-전기공학
1075,EKR1423-002,EKR1423,2,국문학개론,1,3.0,전공필수,[    0     0     0     0 64512     0     0],이지원,상대평가, ,국어교육과-국어교육
1084,EKR3214-001,EKR3214,1,독서교육론,3,3.0,전공선택,[    0     0     0     0 64512     0     0],장성민,절대평가,"영어,English",기타-원어강의
1122,ENG3009-001,ENG3009,1,번역의 이론과 실제,3,3.0,전공선택,[    0     0     0     0 64512     0     0],정회성,상대평가, ,영어영문학과-영어영문학
1157,ENV3104-003,ENV3104,3,물리화학적수처리공정설계,3,2.0,전공필수,[    0     0     0     0 64512     0     0],박선영,절대평가, ,환경공학과-환경공학
1174,FAN2401-001,FAN2401,1,조리원리 및 실습,2,3.0,전공선택,[     0      0      0      0 261120      0      0],김혜영,절대평가, ,식품영양학과-식품영양학
1253,FLL4022-001,FLL4022,1,한국 인물사,전체,3.0,전공선택,[    0     0     0     0 64512     0     0],이홍,절대평가,"영어,English",프랑스언어문화학과-프랑스언어문화
1519,GEB1126-071,GEB1126,71,문제해결을 위한 글쓰기,1,3.0,교양필수,[     0      0      0      0 122880      0      1],"허인영,김남규",상대평가, ,프런티어학부대학-프런티어학부대학
1523,GEB1126-075,GEB1126,75,문제해결을 위한 글쓰기,1,3.0,교양필수,[     0      0      0      0 122880      0      1],"권문경,허인영",상대평가, ,기타-교양한국어
1537,GED1002-007,GED1002,7,공학윤리와 토론,2,3.0,교양선택,[     0      0      0      0 516096      0      0],이혁주,상대평가,공학인증필(18학번~),기타-핵심교양
1539,GED1002-010,GED1002,10,공학윤리와 토론,2,3.0,교양선택,[    0     0     0     0 64512     0     0],이양수,상대평가,공학인증필(18학번~),기타-핵심교양
1573,GED3014-003,GED3014,3,영화와 테크놀러지,전체,3.0,교양선택,[     0      0      0      0 516096      0      0],임택,상대평가,연극영화학,기타-핵심교양
1583,GED4004-001,GED4004,1,부와 빈곤의 글로벌 지도,전체,3.0,교양선택,[    0     0     0     0 64512     0     0],김희순,절대평가,사회교육,기타-핵심교양
1610,GEE1002-001,GEE1002,1,동화와 마법의 상상력,전체,3.0,교양선택,[    0     0     0     0 64512     0     0],김민령,상대평가,한국어문학,기타-일반교양
1627,GEE2015-003,GEE2015,3,기초수학,전체,3.0,교양선택,[    0 57344     0     0 57344     0     0],김경선,Pass/Fail,수학,기타-일반교양
1689,GEE3030-001,GEE3030,1,외국인전용 한국어 레포트쓰기,전체,3.0,교양선택,[    0     0     0     0 64512     0     0],박은정,상대평가,프런티어학부대학,기타-일반교양
1773,GEO1011-001,GEO1011,1,공간정보공학개론,1,3.0,전공필수,[    0     0     0     0 64512     0     0],"박수홍,김태정,박관동,홍성철,최강혁,최광열",상대평가, ,공간정보공학과-공간정보공학
1825,HIS4309-001,HIS4309,1,일본의 역사와 문화,전체,3.0,전공선택,[    0     0     0     0 64512     0     0],윤현명,상대평가, ,사학과-사학
1850,HUM1001-005,HUM1001,5,언어의 이해,전체,3.0,교양필수,[    0     0     0     0 64512     0     0],정일영,상대평가, ,프랑스언어문화학과-프랑스언어문화
1851,HUM1002-001,HUM1002,1,문학의 이해,전체,3.0,교양필수,[     0      0      0      0 516096      0      0],김태경,상대평가, ,한국어문학과-한국어문학
1856,HUM1003-002,HUM1003,2,문화사의 이해,1,3.0,교양필수,[64512     0     0     0 64512     0     0],남달우,상대평가, ,사학과-사학
1857,HUM1003-003,HUM1003,3,문화사의 이해,1,3.0,교양필수,[    0     0 57344     0 57344     0     0],김선기,상대평가, ,사학과-사학
1885,IBT2107-001,IBT2107,1,세계경제,2,3.0,전공선택,[    0     0     0     0 64512     0     0],티티리가,상대평가,English,IBT학과-국제경영학
1964,IEN2014-002,IEN2014,2,확률 및 통계,2,3.0,전공필수,[      0       0       0 3727360 3727360       0       0],이희남,상대평가, ,산업경영공학과-산업경영공학
1974,IEN3202-002,IEN3202,2,산업정보화,3,3.0,전공선택,[    0     0     0     0 64512     0     0],송종수,절대평가,"영어, English",기타-원어강의
1985,IGS1131-001,IGS1131,1,SW 프로그래밍,1,3.0,교양필수,[    0     0     0     0 64512     0     0],후마윤,상대평가,English,IBT학과-국제경영학
1986,IGS1131-002,IGS1131,2,SW 프로그래밍,1,3.0,교양필수,[    0     0     0     0 64512     0     0],샤페눌,상대평가,English,기타-원어강의
2024,INT2526-001,INT2526,1,일본사회와 문화,2,3.0,전공선택,[    0     0     0     0 64512     0     0],박경희,상대평가, ,국제통상학과-국제통상학
2033,INT4217-001,INT4217,1,글로벌 E-Commerce의 이해와 실습,4,3.0,전공선택,[     0      0      0      0 516096      0      0],하동호,상대평가, ,국제통상학과-국제통상학
2036,IPS1443-001,IPS1443,1,연극사,1,3.0,전공선택,[    0     0     0     0 64512     0     0],김효진,상대평가, ,연극영화학과-연극영화학
2055,IPS3502-001,IPS3502,1,영화제작 1,3,3.0,전공선택,[     0      0      0      0 516096      0      0],박광춘,절대평가,캡스톤디자인,연극영화학과-연극영화학
2063,ISE1234-001,ISE1234,1,엔지니어링 컨셉드로잉,1,3.0,전공필수,[     0      0      0      0 516096      0      0],세라오,상대평가,English,ISE학과-융합시스템공학
2067,ISE2234-001,ISE2234,1,지능형이동체설계,2,3.0,전공선택,[    0     0     0     0 64512     0     0],조종두,상대평가,"영어,English",기타-원어강의
