,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,department
10,ACE1301-002,ACE1301,2,정보사회와컴퓨터,1,3.0,교양필수,[  0 896   0   0 112   0   0],원종구,절대평가, ,기계공학과-기계공학
22,ACE1302-004,ACE1302,4,컴퓨터프로그래밍,1,3.0,교양필수,[    0 32640     0     0     0     0     0],김영진,절대평가, ,전자공학과-전자공학
23,ACE1302-005,ACE1302,5,컴퓨터프로그래밍,1,3.0,교양필수,[7680 7680    0    0    0    0    0],오이식,절대평가, ,전자공학과-전자공학
32,ACE2101-002,ACE2101,2,공업수학 1,2,3.0,교양필수,[   0 1008    0    0 1008    0    0],전상표,상대평가,선수,기계공학과-기계공학
38,ACE2101-008,ACE2101,8,공업수학 1,2,3.0,교양필수,[  0 910   0 910   0   0   0],장영호,상대평가, ,화학공학과-화학공학
56,ACE2101-027,ACE2101,27,공업수학 1,2,3.0,교양필수,[  0 910   0 910   0   0   0],김성은,상대평가,선수,기계공학과-기계공학
96,AIE3007-001,AIE3007,1,데이터베이스,3,3.0,전공선택,[896 896   0   0   0   0   0],서영덕,상대평가, ,인공지능공학과-인공지능공학
117,APL2207-002,APL2207,2,물류회계,전체,3.0,전공선택,[  0 896   0 896   0   0   0],이재형,절대평가,"영어, English",아태물류학부-물류학
143,ARC2302-001,ARC2302,1,건축환경계획,2,3.0,전공필수,[  0 896 896   0   0   0   0],김형섭,상대평가, ,건축학부-건축학
190,ARS1500-001,ARS1500,1,세계디자인여행,전체,3.0,교양필수,[   0 1008    0    0    0    0    0],김나운,절대평가, ,디자인융합학과-디자인융합학
193,ASE2012-001,ASE2012,1,구조역학,2,3.0,전공필수,[   0 3584    0 3584    0    0    0],이창열,상대평가,선수,항공우주공학과-항공우주공학
202,ASE3031-001,ASE3031,1,확률 및 랜덤변수,3,3.0,전공선택,[   0 3584    0 3584    0    0    0],목성훈,상대평가, ,항공우주공학과-항공우주공학
210,ASE4070-001,ASE4070,1,항공기개념설계,4,3.0,전공선택,[   0 3584 3584    0    0    0    0],이승수,상대평가,선수,항공우주공학과-항공우주공학
231,BIO2108-001,BIO2108,1,세포생물학,2,3.0,전공필수,[1008 1008    0    0    0    0    0],김정화,상대평가, ,생명과학과-생명과학
237,BIO3105-001,BIO3105,1,동물계통분류학,3,3.0,전공선택,[  0 896 896   0   0   0   0],민기식,상대평가, ,생명과학과-생명과학
241,BIO4105-001,BIO4105,1,노화생물학,4,3.0,전공선택,[     0 459648      0 459648      0      0      0],"민경진,이혜연",상대평가, ,생명과학과-생명과학
276,BTE2102-001,BTE2102,1,물리화학,2,3.0,전공필수,[  0 896   0   0 896   0   0],부지윤,상대평가, ,생명공학과-생명공학
297,BUS2101-002,BUS2101,2,재무관리,전체,3.0,전공필수,[910 910   0   0   0   0   0],손규현,상대평가, ,경영학과-경영학
308,BUS2301-004,BUS2301,4,재무회계,전체,3.0,전공필수,[896 896   0   0   0   0   0],윤선주,상대평가, ,경영학과-경영학
352,BUS3403-002,BUS3403,2,서비스 품질경영,전체,3.0,전공선택,[896 896   0   0   0   0   0],김서영,상대평가, ,경영학과-경영학
375,BUS4303-001,BUS4303,1,정부회계,전체,3.0,전공선택,[896 896   0   0   0   0   0],최수영,상대평가, ,경영학과-경영학
394,CBA1103-001,CBA1103,1,경제학,전체,3.0,교양필수,[  0 896   0 896   0   0   0],이명운,상대평가, ,경영학과-경영학
415,CBA1106-008,CBA1106,8,회계원론,1,3.0,교양필수,[  0 896 896   0   0   0   0],배성미,상대평가, ,글로벌금융학과-글로벌금융학
460,CCM4212-002,CCM4212,2,설득커뮤니케이션의 이해,4,3.0,전공선택,[  0 896   0 896   0   0   0],이종영,상대평가, ,문화콘텐츠문화경영학과-문화콘텐츠문화경영학
476,CDN1320-001,CDN1320,1,사진과영상,1,3.0,전공선택,[   0 1008    0    0    0    0    0],이승언,절대평가, ,디자인융합학과-디자인융합학
502,CDN3322-002,CDN3322,2,디자인프로그래밍,3,3.0,전공선택,[   0 8064    0    0    0    0    0],강희라,절대평가, ,디자인융합학과-디자인융합학
513,CHE1101-001,CHE1101,1,통계학 기초,1,3.0,교양필수,[  0 896   0 896   0   0   0],김지혜,상대평가, ,화학공학과-화학공학
569,CHM1021-001,CHM1021,1,화학 1,1,3.0,교양필수,[   0 1008    0 1008    0    0    0],박성진,상대평가, ,화학공학과-화학공학
577,CHM1021-009,CHM1021,9,화학 1,1,3.0,교양필수,[   0 1008    0 1008    0    0    0],김희선,상대평가, ,물리학과-물리학
585,CHM1023-004,CHM1023,4,일반화학,1,3.0,교양필수,[   0 1008    0 1008    0    0    0],김민규,상대평가, ,항공우주공학과-항공우주공학
588,CHM1023-007,CHM1023,7,일반화학,1,3.0,교양필수,[   0 1008    0    0 1008    0    0],김창곤,상대평가, ,사회인프라공학과-사회인프라공학
590,CHM1023-009,CHM1023,9,일반화학,1,3.0,교양필수,[   0 1008    0    0 1008    0    0],강동원,상대평가, ,수학과-수학
606,CHM1028-003,CHM1028,3,화학실험 1,1,1.0,교양필수,[   0 7680    0    0    0    0    0],박성진,절대평가, ,화학공학과-화학공학
608,CHM1028-005,CHM1028,5,화학실험 1,1,1.0,교양필수,[   0 7680    0    0    0    0    0],김동욱,절대평가, ,고분자공학과-고분자공학
619,CHM2201-001,CHM2201,1,유기화학 1,2,3.0,전공필수,[   0 1008    0 1008    0    0    0],이건형,상대평가, ,화학과-화학
620,CHM2201-002,CHM2201,2,유기화학 1,2,3.0,전공필수,[   0 1008    0 1008    0    0    0],김동욱,상대평가, ,화학과-화학
622,CHM3109-001,CHM3109,1,물리화학실험,3,2.0,전공필수,[    0 32640     0     0     0     0     0],김찬경,절대평가, ,화학과-화학
641,CHM4615-001,CHM4615,1,에너지화학,4,3.0,전공선택,[   0 1008    0    0 1008    0    0],김희선,상대평가, ,화학과-화학
644,CHN2005-001,CHN2005,1,중국어학개론,2,3.0,전공선택,[  0 896   0 896   0   0   0],박나현,상대평가, ,중국학과-중국학
659,CHN4101-001,CHN4101,1,비즈니스 중국어,4,3.0,전공선택,[  0 896   0 896   0   0   0],신향숙,절대평가,Chinese,중국학과-중국학
673,CHS3404-001,CHS3404,1,아동교육콘텐츠개발,3,3.0,전공선택,[    0 58240 58240     0     0     0     0],홍예지,상대평가, ,아동심리학과-아동심리학
679,CIV1611-002,CIV1611,2,건설재료실험,1,3.0,전공필수,[7872000 7872000       0       0       0       0       0],정진훈,절대평가, ,사회인프라공학과-사회인프라공학
685,CIV2311-001,CIV2311,1,기초수리학,2,3.0,전공필수,[896 896   0   0   0   0   0],김경훈,상대평가, ,사회인프라공학과-사회인프라공학
692,CIV3100-001,CIV3100,1,구조해석,3,3.0,전공선택,[1008 1008    0    0    0    0    0],이종한,절대평가,"영어,English,선수",기타-원어강의
706,CIV4370-001,CIV4370,1,수자원 및 재난관리,4,3.0,전공선택,[    0 58240     0 58240     0     0     0],김수전,상대평가, ,사회인프라공학과-사회인프라공학
720,COM3104-001,COM3104,1,디지털저널리즘제작,전체,3.0,전공선택,[   0 8064    0    0    0    0    0],김수연,절대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
724,COM3331-001,COM3331,1,Media Narratives,전체,3.0,전공선택,[  0 896   0 896   0   0   0],호세다비드,절대평가,English,기타-원어강의
734,CON1001-001,CON1001,1,소비자와 시장경제,1,3.0,전공필수,[  0 896 896   0   0   0   0],이종희,상대평가, ,소비자학과-소비자학
755,CSE1101-002,CSE1101,2,객체지향프로그래밍 1,1,3.0,전공필수,[     0   7680 122880      0      0      0      0],한경숙,상대평가, ,컴퓨터공학과-컴퓨터공학
758,CSE1101-005,CSE1101,5,객체지향프로그래밍 1,1,3.0,전공필수,[7680 7680    0    0    0    0    0],이욱,상대평가, ,컴퓨터공학과-컴퓨터공학
777,CSE2112-004,CSE2112,4,자료구조,2,4.0,전공필수,[   0 7680    0 7680 7680    0    0],김영호,상대평가,선수,컴퓨터공학과-컴퓨터공학
786,CSE3203-004,CSE3203,4,컴퓨터구조론,3,3.0,전공선택,[  0 896   0 896   0   0   0],이어진,상대평가,선수,컴퓨터공학과-컴퓨터공학
797,CSE3207-005,CSE3207,5,데이터베이스,3,3.0,전공선택,[896 896   0   0   0   0   0],서영덕,상대평가,선수,컴퓨터공학과-컴퓨터공학
837,DET3002-001,DET3002,1,게임 콘텐츠 기획,3,3.0,전공필수,[   0 1008    0    0    0    0    0],성보경,절대평가, ,디자인테크놀로지학과-디자인테크놀로지학
864,ECE2222-003,ECE2222,3,기초실험 1,2,1.0,전공필수,[   0 7680    0    0    0    0    0],송병철,절대평가, ,전자공학과-전자공학
880,ECE2248-001,ECE2248,1,물리전자,2,3.0,전공필수,[   0 8064 8064    0    0    0    0],강지훈,상대평가, ,전자공학과-전자공학
892,ECE3361-001,ECE3361,1,전자회로 2,3,3.0,전공선택,[   0 8064    0 8064    0    0    0],윤광섭,상대평가,선수,전자공학과-전자공학
893,ECE3361-002,ECE3361,2,전자회로 2,3,3.0,전공선택,[     0    896      0 458752      0      0      0],윤광섭,상대평가,선수,전자공학과-전자공학
894,ECE3361-003,ECE3361,3,전자회로 2,3,3.0,전공선택,[   0 8064    0 8064    0    0    0],박인호,상대평가,선수,전자공학과-전자공학
899,ECE4343-001,ECE4343,1,아날로그회로설계,4,4.0,전공선택,[     0 984960      0      0 984960      0      0],박인호,상대평가, ,전자공학과-전자공학
906,ECE4421-001,ECE4421,1,제어시스템설계,4,3.0,전공선택,[     0 459648 459648      0      0      0      0],이호재,상대평가,선수,전자공학과-전자공학
907,ECE4421-002,ECE4421,2,제어시스템설계,4,3.0,전공선택,[     0 459648 459648      0      0      0      0],이호재,상대평가,선수,전자공학과-전자공학
917,ECO1101-003,ECO1101,3,경제원론 1,전체,3.0,전공필수,[  0 896 896   0   0   0   0],정세은,절대평가,"영어,English",경제학과-경제학
924,ECO3212-001,ECO3212,1,응용계량경제학,전체,3.0,전공선택,[    0 25472     0   896     0     0     0],천소라,절대평가, ,경제학과-경제학
947,EDC1104-003,EDC1104,3,교육심리,전체,2.0,교직과정,[   0 7680    0    0    0    0    0],정윤경,절대평가, ,기타-사범대 교직과정
966,EDC3102-003,EDC3102,3,교육평가,전체,2.0,교직과정,[   0 7680    0    0    0    0    0],강혜영,절대평가, ,교육학과-교육학
1066,EEG3706-002,EEG3706,2,영어회화 2,3,3.0,전공필수,[  0 896   0 896   0   0   0],브로케티,상대평가,English,기타-원어강의
1105,EMT4434-001,EMT4434,1,현대수학의 이해,4,3.0,전공선택,[1008 1008    0    0    0    0    0],"이윤원,명성",상대평가, ,수학교육과-수학교육
1108,ENG1401-003,ENG1401,3,영어토론과프레젠테이션,1,3.0,전공필수,[896 896   0   0   0   0   0],조던,절대평가,English,영어영문학과-영어영문학
1113,ENG2203-001,ENG2203,1,영문법,2,3.0,전공선택,[112 896   0   0   0   0   0],한승훈,상대평가, ,영어영문학과-영어영문학
1120,ENG2401-002,ENG2401,2,표현영어글쓰기,2,3.0,전공선택,[  0 896   0 896   0   0   0],맥키,절대평가,English,영어영문학과-영어영문학
1131,ENG4305-001,ENG4305,1,영미시,4,3.0,전공선택,[     0 459648      0 459648      0      0      0],엄재덕,상대평가, ,영어영문학과-영어영문학
1142,ENR3111-001,ENR3111,1,에너지환경기술경영,3,3.0,전공선택,[1008 1008    0    0    0    0    0],이용길,절대평가,"영어, English",기타-원어강의
1148,ENR4311-001,ENR4311,1,미래가스공학,4,3.0,전공선택,[     0 459648 459648      0      0      0      0],신현돈,상대평가, ,에너지자원공학과-에너지자원공학
1158,ENV3110-001,ENV3110,1,물리화학적수처리,3,3.0,전공필수,[459648 459648      0      0      0      0      0],김정환,상대평가, ,환경공학과-환경공학
1162,ENV3303-001,ENV3303,1,환경경영,3,3.0,전공선택,[    0 58240     0 58240     0     0     0],황용우,상대평가, ,환경공학과-환경공학
1177,FAN3306-001,FAN3306,1,고급영양학,3,3.0,전공선택,[1008 1008    0    0    0    0    0],신다연,상대평가, ,식품영양학과-식품영양학
1213,FDT1305-001,FDT1305,1,패션비즈니스의이해,1,3.0,전공필수,[8064 8064    0    0    0    0    0],이현화,상대평가, ,의류디자인학과-의류디자인학
1223,FDT2304-001,FDT2304,1,의상사회심리,2,3.0,전공선택,[1008 1008    0    0    0    0    0],이미영,상대평가, ,의류디자인학과-의류디자인학
1246,FLL2005-001,FLL2005,1,프랑스어 듣기와 발음연습 1,전체,3.0,전공선택,[  0 896   0 896   0   0   0],엘로이즈뫼르,절대평가,"French,English",기타-원어강의
1303,GEB1107-015,GEB1107,15,의사소통 영어,1,3.0,교양필수,[   0 1008    0 1008    0    0    0],랜디,상대평가, ,프런티어학부대학-프런티어학부대학
1304,GEB1107-016,GEB1107,16,의사소통 영어,1,3.0,교양필수,[   0 1008    0 1008    0    0    0],그레고리맥닐,상대평가, ,프런티어학부대학-프런티어학부대학
1305,GEB1107-017,GEB1107,17,의사소통 영어,1,3.0,교양필수,[   0 1008    0 1008    0    0    0],엠버,상대평가, ,프런티어학부대학-프런티어학부대학
1306,GEB1107-018,GEB1107,18,의사소통 영어,1,3.0,교양필수,[   0 1008    0 1008    0    0    0],테리로즈,상대평가, ,프런티어학부대학-프런티어학부대학
1307,GEB1107-019,GEB1107,19,의사소통 영어,1,3.0,교양필수,[   0 1008    0    0 1008    0    0],랜디,상대평가, ,기타-교양영어
1308,GEB1107-020,GEB1107,20,의사소통 영어,1,3.0,교양필수,[   0 1008    0    0 1008    0    0],그레고리맥닐,상대평가, ,프런티어학부대학-프런티어학부대학
