,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,department
9,ACE1301-001,ACE1301,1,정보사회와컴퓨터,1,3.0,교양필수,[  0 112   0   0  14   0   0],원종구,절대평가, ,기계공학과-기계공학
31,ACE2101-001,ACE2101,1,공업수학 1,2,3.0,교양필수,[   0 7280    0 7280    0    0    0],김홍근,상대평가,선수,기계공학과-기계공학
32,ACE2101-002,ACE2101,2,공업수학 1,2,3.0,교양필수,[   0 1008    0    0 1008    0    0],전상표,상대평가,선수,기계공학과-기계공학
43,ACE2101-013,ACE2101,13,공업수학 1,2,3.0,교양필수,[  0 126   0 126   0   0   0],장영호,상대평가, ,신소재공학과-신소재공학
72,ACE2105-006,ACE2105,6,선형대수,2,3.0,교양필수,[  0 112   0 112   0   0   0],박대영,상대평가,선수,정보통신공학과-정보통신공학
94,AIE3002-001,AIE3002,1,알고리즘,3,3.0,전공필수,[  0 112   0 112   0   0   0],김도국,상대평가, ,인공지능공학과-인공지능공학
108,APL2101-001,APL2101,1,물류관리론,전체,3.0,전공필수,[  0 112   0 112   0   0   0],김화중,상대평가, ,아태물류학부-물류학
115,APL2106-002,APL2106,2,Business English 2,전체,3.0,전공필수,[  0 112   0 112   0   0   0],제임스패턴,상대평가,English,기타-원어강의
118,APL2301-001,APL2301,1,화물운송론,전체,3.0,전공선택,[  0 112   0 112   0   0   0],박민영,상대평가, ,아태물류학부-물류학
126,APL4003-001,APL4003,1,GLOBA 논문 연구 2,4,3.0,전공선택,[  0 126   0   0   0   0   0],"하헌구,김종철",절대평가,"영어,English GLOBA전용",기타-원어강의
127,APL4226-001,APL4226,1,물류AI프로그래밍,전체,3.0,전공선택,[  0 240   0 240   0   0   0],남대식,절대평가, ,아태물류학부-물류학
137,ARC2102-001,ARC2102,1,한국건축사,2,3.0,전공필수,[  0 126   0   0   0   0   0],도윤수,상대평가, ,건축학부-건축학
145,ARC3105-001,ARC3105,1,건축디자인방법론,3,3.0,전공필수,[  0 126   0   0   0   0   0],정경준,상대평가, ,건축학부-건축학
173,ARE3108-001,ARE3108,1,철근콘크리트 건축구조,3,3.0,전공선택,[  0 112 112   0   0   0   0],정성훈,상대평가,선수,건축학부-건축공학
190,ARS1500-001,ARS1500,1,세계디자인여행,전체,3.0,교양필수,[   0 1008    0    0    0    0    0],김나운,절대평가, ,디자인융합학과-디자인융합학
195,ASE2020-001,ASE2020,1,동역학,2,3.0,전공필수,[  0 112   0 112   0   0   0],김정호,상대평가, ,항공우주공학과-항공우주공학
204,ASE3093-001,ASE3093,1,자동제어,3,3.0,전공필수,[  0 112   0 112   0   0   0],김종한,상대평가, ,항공우주공학과-항공우주공학
221,BIO1101-002,BIO1101,2,생명과학 1,전체,3.0,교양필수,[   0 7280 7280    0    0    0    0],윤진미,상대평가, ,생명과학과-생명과학
226,BIO1102-004,BIO1102,4,생명과학실험 1,전체,1.0,교양필수,[  0 240   0   0   0   0   0],한성규,절대평가, ,생명과학과-생명과학
231,BIO2108-001,BIO2108,1,세포생물학,2,3.0,전공필수,[1008 1008    0    0    0    0    0],김정화,상대평가, ,생명과학과-생명과학
236,BIO3103-001,BIO3103,1,발생생물학,3,3.0,전공선택,[   0  112    0 7168    0    0    0],이한솔,상대평가, ,생명과학과-생명과학
273,BTE1201-001,BTE1201,1,창의적생명공학설계,2,3.0,전공필수,[  0 126   0   0   0   0   0],양윤정,Pass/Fail, ,생명공학과-생명공학
280,BTE3101-001,BTE3101,1,생물화학공학,3,3.0,전공필수,[458752    112      0      0      0      0      0],신화성,상대평가,선수,생명공학과-생명공학
