,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,department
11,ACE1301-003,ACE1301,3,정보사회와컴퓨터,1,3.0,교양필수,[   0 7168    0    0 7168    0    0],원종구,절대평가, ,기계공학과-기계공학
14,ACE1301-006,ACE1301,6,정보사회와컴퓨터,1,3.0,교양필수,[7168 7168    0    0    0    0    0],노정훈,절대평가, ,기계공학과-기계공학
22,ACE1302-004,ACE1302,4,컴퓨터프로그래밍,1,3.0,교양필수,[    0 32640     0     0     0     0     0],김영진,절대평가, ,전자공학과-전자공학
23,ACE1302-005,ACE1302,5,컴퓨터프로그래밍,1,3.0,교양필수,[7680 7680    0    0    0    0    0],오이식,절대평가, ,전자공학과-전자공학
31,ACE2101-001,ACE2101,1,공업수학 1,2,3.0,교양필수,[   0 7280    0 7280    0    0    0],김홍근,상대평가,선수,기계공학과-기계공학
35,ACE2101-005,ACE2101,5,공업수학 1,2,3.0,교양필수,[57344  7168     0     0     0     0     0],구원철,상대평가, ,조선해양공학과-조선해양공학
47,ACE2101-017,ACE2101,17,공업수학 1,2,3.0,교양필수,[     0 465920      0      0 465920      0      0],정찬석,상대평가,선수,환경공학과-환경공학
49,ACE2101-019,ACE2101,19,공업수학 1,2,3.0,교양필수,[     0 465920      0      0 465920      0      0],정찬석,상대평가,선수,전기공학과-전기공학
57,ACE2102-001,ACE2102,1,공업수학 2,전체,3.0,교양필수,[ 112 7168    0    0    0    0    0],양재근,상대평가, ,건축학부-건축공학
73,ACE2105-007,ACE2105,7,선형대수,2,3.0,교양필수,[   0 7168 7168    0    0    0    0],세라오,상대평가,English,기타-원어강의
91,AIE2005-001,AIE2005,1,파이썬기반응용프로그래밍,2,3.0,전공선택,[   0 7168    0 7168    0    0    0],이현규,상대평가, ,인공지능공학과-인공지능공학
102,APL1101-001,APL1101,1,물류학의 이해,1,3.0,교양필수,[   0 7168    0 7168    0    0    0],권오경,상대평가, ,아태물류학부-물류학
116,APL2207-001,APL2207,1,물류회계,전체,3.0,전공선택,[   0 7168    0 7168    0    0    0],이재형,절대평가,"영어,English",기타-원어강의
124,APL3307-001,APL3307,1,보관하역론,전체,3.0,전공선택,[   0 7168    0 7168    0    0    0],임현우,절대평가,"영어,English",아태물류학부-물류학
130,APL4517-001,APL4517,1,수요예측,전체,3.0,전공선택,[    0 64512     0     0     0     0     0],유성용,절대평가,"영어,English",기타-원어강의
135,ARC2002-001,ARC2002,1,디지털미디어 1,2,3.0,전공필수,[    0 64512     0     0     0     0     0],홍승완,절대평가,"영어,English",건축학부-건축학
146,ARC3106-001,ARC3106,1,주거계획,3,3.0,전공선택,[   0 7168 7168    0    0    0    0],조민정,상대평가, ,건축학부-건축학
